trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
45,True,"{'a': 0, 'e': 0}",30,14,26.745300282219148,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,True,"{'a': 0, 'e': 0}",25,0,30.371928418733713,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
47,True,"{'a': 0, 'e': 0}",30,16,15.400855864110019,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
48,True,"{'a': 0, 'e': 0}",30,19,18.70533155030502,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,True,"{'a': 0, 'e': 0}",20,14,11.440262255895323,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,True,"{'a': 0, 'e': 0}",20,6,14.782773202875394,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
51,True,"{'a': 0, 'e': 0}",20,0,-15.967283804552723,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
52,True,"{'a': 0, 'e': 0}",30,2,42.382521435613555,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,True,"{'a': 0, 'e': 0}",25,2,38.825208074005154,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,True,"{'a': 0, 'e': 0}",20,0,-16.545272538962177,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
55,True,"{'a': 0, 'e': 0}",30,21,15.955838422586368,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,True,"{'a': 0, 'e': 0}",25,15,18.798417908981065,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,True,"{'a': 0, 'e': 0}",25,17,15.597606685865335,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,True,"{'a': 0, 'e': 0}",20,0,25.211056550537716,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
59,True,"{'a': 0, 'e': 0}",20,15,6.994995995768885,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,True,"{'a': 0, 'e': 0}",30,12,29.03928544831972,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,True,"{'a': 0, 'e': 0}",25,0,12.345217260471632,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
62,True,"{'a': 0, 'e': 0}",30,0,3.0306852325008125,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
63,True,"{'a': 0, 'e': 0}",20,0,25.210314732013998,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
64,True,"{'a': 0, 'e': 0}",20,0,28.959091319928444,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
65,True,"{'a': 0, 'e': 0}",30,8,-0.7828937128029485,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
66,True,"{'a': 0, 'e': 0}",20,0,19.036719468540046,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
67,True,"{'a': 0, 'e': 0}",35,21,30.189696469820714,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
