trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.4, 'e': 0.7699479605420695}",25,0,-108.81776207179198,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
43,False,"{'a': 0.4, 'e': 0.46067858741136253}",20,12,12.140555814074467,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.4, 'e': 0.07867819473184015}",20,8,1.342804833625189,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
45,False,"{'a': 0.4, 'e': 0.31574375491924334}",25,11,-22.7264378944298,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
46,False,"{'a': 0.4, 'e': 0.6603167082440802}",20,0,-155.48219603179882,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 4}",0
47,False,"{'a': 0.4, 'e': 0.90064017238477}",20,0,-50.84972222333078,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
48,False,"{'a': 0.4, 'e': 0.9987723565872102}",25,0,-177.3525237370362,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 4}",0
49,False,"{'a': 0.4, 'e': 0.9392203466968696}",35,0,-317.87267251191577,"{0: 19, 1: 3, 2: 4, 3: 4, 4: 5}",0
50,False,"{'a': 0.4, 'e': 0.7313860956454967}",25,2,-188.07875409651217,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 3}",1
51,False,"{'a': 0.4, 'e': 0.40808206181339196}",25,17,15.5734466371345,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.4, 'e': 0.02035084333167943}",25,14,13.28227263992203,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.4, 'e': 0.37059332583764143}",20,0,-48.58826849586803,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
54,False,"{'a': 0.4, 'e': 0.7030289574653885}",20,0,-132.12772437506038,"{0: 14, 1: 2, 2: 0, 3: 1, 4: 3}",0
55,False,"{'a': 0.4, 'e': 0.9244717749141217}",25,0,-191.1093598445411,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
56,False,"{'a': 0.4, 'e': 0.9999608263946371}",20,0,-65.05133112268899,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
57,False,"{'a': 0.4, 'e': 0.9175780505318598}",25,0,-53.67991462693829,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
58,False,"{'a': 0.4, 'e': 0.6903298762015725}",25,0,-67.01670821363392,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
59,False,"{'a': 0.4, 'e': 0.3540937933963556}",20,0,-11.018183569908404,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
60,False,"{'a': 0.4, 'e': 0.03804591356977048}",20,5,22.703713549995435,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.4, 'e': 0.424179007336997}",20,12,14.577416048134832,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.4, 'e': 0.7433435626961754}",25,14,-54.59384766978439,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 1}",1
63,False,"{'a': 0.4, 'e': 0.9451505141481711}",20,1,-162.16363908725876,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 3}",1
64,False,"{'a': 0.4, 'e': 0.9977389813911302}",20,0,-136.44202074237776,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
65,False,"{'a': 0.4, 'e': 0.8928064017629097}",30,0,-50.37725802103353,"{0: 25, 1: 0, 2: 2, 3: 3, 4: 0}",0
66,False,"{'a': 0.4, 'e': 0.6469193223286404}",20,5,-102.530665225893,"{0: 8, 1: 3, 2: 2, 3: 0, 4: 2}",1
67,False,"{'a': 0.4, 'e': 0.2988979063644682}",20,0,-74.1647254865842,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
68,False,"{'a': 0.4, 'e': 0.09631291684576058}",20,8,-0.3154891869434695,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
69,False,"{'a': 0.4, 'e': 0.4763180482150184}",30,12,3.7239388975091385,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
70,False,"{'a': 0.4, 'e': 0.7811230330551143}",25,0,-202.3065621822704,"{0: 11, 1: 7, 2: 2, 3: 2, 4: 3}",0
71,False,"{'a': 0.4, 'e': 0.9626058663135666}",20,0,-77.25322653410338,"{0: 9, 1: 5, 2: 6, 3: 0, 4: 0}",0
72,False,"{'a': 0.4, 'e': 0.9921143990644502}",35,4,-60.455464567704546,"{0: 22, 1: 3, 2: 5, 3: 1, 4: 0}",1
73,False,"{'a': 0.4, 'e': 0.8649898828201886}",20,0,-110.96889408859161,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
74,False,"{'a': 0.4, 'e': 0.6013024834811519}",30,0,-65.81474796651071,"{0: 26, 1: 1, 2: 0, 3: 1, 4: 2}",0
75,False,"{'a': 0.4, 'e': 0.24268264344292018}",20,6,-61.001341254294,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 1}",1
76,False,"{'a': 0.4, 'e': 0.15425144988758405}",25,5,18.645591704567597,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.4, 'e': 0.5268326309626121}",30,0,-57.05108109024935,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
78,False,"{'a': 0.4, 'e': 0.8162385236075703}",20,0,-75.42387081924902,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
79,False,"{'a': 0.4, 'e': 0.9767783008322618}",30,0,-141.17180930082137,"{0: 16, 1: 4, 2: 8, 3: 1, 4: 1}",0
80,False,"{'a': 0.4, 'e': 0.983106261762453}",20,0,-118.44917494496056,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
81,False,"{'a': 0.4, 'e': 0.8342233605065102}",20,0,-136.75912105872573,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
82,False,"{'a': 0.4, 'e': 0.553634933534655}",20,8,-48.00498165625199,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
83,False,"{'a': 0.4, 'e': 0.18563972388578434}",25,0,-28.5094322907293,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
84,False,"{'a': 0.4, 'e': 0.2116639163173255}",30,0,-10.596017688607063,"{0: 27, 1: 2, 2: 0, 3: 0, 4: 1}",0
